Date,nps,Comment,comment
1/19/2023 22:35,10,Muy bien.,Very good.
1/19/2023 22:36,9,Es rápido,It's fast
1/19/2023 22:36,9,"ES BUENO, PERO DE REPENTE SE BLOQUEA","IT'S GOOD, BUT SUDDENLY IT BLOCKS"
1/19/2023 22:40,10,rapidez,speed
1/19/2023 22:44,10,TODO MUY CLARO,ALL VERY CLEAR
1/19/2023 22:48,10,rapidez,speed
1/19/2023 22:54,10,si,and
1/19/2023 22:57,9,Su aplicación Web es muy sencilla,Its web application is very simple
1/19/2023 23:08,10,Facilidad y rapidez,Ease and speed
1/19/2023 23:25,10,Todo muy facil de realizar,All very easy to do
1/19/2023 23:30,10,Buen servicio,Good service
1/19/2023 23:41,9,porque interrumpen con la encuesta y uno no ha terminado aun con el check-in,because they interrupt with the survey and one has not finished yet with the check-in
1/20/2023 0:05,10,Por precios,by prices
1/20/2023 0:06,10,AHORRO DE TIEMPO,TIME SAVING
1/20/2023 0:07,10,TODO BIEN,ALL GOOD
1/20/2023 0:19,10,MUY BUEN SERVICIO,VERY GOOD SERVICE
1/20/2023 0:27,10,Facil de usar,Easy to use
1/20/2023 0:30,9,Muy amigable la aplicación,The application is very friendly
1/20/2023 0:34,9,Muy buen la app,Very good the app
1/20/2023 0:38,9,todo esta accesible,everything is accessible
1/20/2023 0:42,10,eficiente,efficient
1/20/2023 0:42,10,Mil gracias,Thank you
1/20/2023 0:57,10,es fácio y rápido,it's easy and fast
1/20/2023 10:55,10,todo muy bien,All very well
1/20/2023 13:56,10,fue un proceso sencillo y rápido,it was a quick and easy process
1/20/2023 14:23,10,POR LO FLUIDO DE LA PAGINA Y,BECAUSE OF THE FLUID OF THE PAGE AND
1/20/2023 14:25,10,gracias,gracias
1/20/2023 14:26,10,buen servicio,good service
1/20/2023 14:42,10,muy rápido,very fast
1/20/2023 14:47,10,eficiente,efficient
1/20/2023 15:02,10,AGIL Y FACIL,AGILE AND EASY
1/20/2023 15:18,10,facil,easy
1/20/2023 15:19,9,estuvo facil,it was easy
1/20/2023 15:21,10,Fue muy rapido,It was very fast
1/20/2023 15:43,10,Tubería de Cobre Tipo K,Type K Copper Tubing
1/20/2023 15:52,10,Excelente opción de horarios,Excellent choice of hours
1/20/2023 15:57,10,Es rápido seguro y fácil,"It's fast, safe and easy."
1/20/2023 15:58,10,Excelente servicio,Excellent service
1/20/2023 16:03,10,excelente,great
1/20/2023 16:08,10,LA PÁGINA ES MUY SENCILLA DE MANEJAR,THE PAGE IS VERY SIMPLE TO USE
1/20/2023 16:09,10,FACIL,EASY
1/20/2023 16:14,10,El servicio,The service
1/20/2023 16:19,9,FACIL DE USAR,EASY TO USE
1/20/2023 16:37,10,OK,OK
1/20/2023 16:38,9,por el precio y aviones mas nuevos,SIMPLE FAST AND VERY EASY
1/20/2023 16:38,10,SIMPLE RAPIDA Y MUY FACIL,for the price and newer planes
1/20/2023 16:40,10,ES MUY AMIGABLE EL SITIO WEB,THE WEBSITE IS VERY FRIENDLY
1/20/2023 16:43,10,evitas complicaciones al llegar al abordaje ya con codigo en mano.,You avoid complications when you arrive at the boarding with the code in hand.
1/20/2023 16:49,10,facilita tiempos,facilitates times
1/20/2023 16:52,10,ES MUY SENCILLO Y RAPIDO,IT'S VERY EASY AND FAST
1/20/2023 16:53,10,"muy eficientes, buenos precios","very efficient, good prices"
1/20/2023 16:55,10,buen precio y fácil compra por internet,good price and easy to buy online
1/20/2023 17:00,10,Por la facilidad para realizarlo,For the ease of doing it
1/20/2023 17:01,10,muy sencillo de hacer y conveniente,very easy to do and convenient
1/20/2023 17:03,10,POR SER MUY VIABLE EL PROCESO ADEMAS DE ECONOMICOS,BECAUSE THE PROCESS IS VERY VIABLE IN ADDITION TO ECONOMIC
1/20/2023 17:05,10,Buenos precios y página amigable.,Good prices and friendly page.
1/20/2023 17:07,10,todo facil,all easy
1/20/2023 17:13,10,PORQUE ES FACIL Y SENCILLO,BECAUSE IT IS EASY AND SIMPLE
1/20/2023 17:14,10,muy fácil,very easy
1/20/2023 17:18,10,Excelentes costos,excellent costs
1/20/2023 17:26,10,POR LOS PRECIOS Y SERVICIO,FOR THE PRICES AND SERVICE
1/20/2023 17:30,10,facilidad para realizar los procesos,ease of carrying out processes
1/20/2023 17:34,10,experiencia,IT WAS VERY FAST AND VERY SPECIFIC
1/20/2023 17:34,10,FUE MUY RAPIDO Y MUY ESPLISITO,experience
1/20/2023 17:40,10,MUY AMIGABLE,VERY FRIENDLY
1/20/2023 17:44,10,ES FÁCIL Y RÁPIDO,IT'S EASY AND FAST
1/20/2023 17:47,10,Es sencillo y te da opciones de agregar beneficios a tu vuelo en caso de que lo hayas olvidado,It's simple and gives you options to add benefits to your flight in case you forgot
1/20/2023 17:48,10,excelente wep page facil y oportuna,excellent web page easy and timely
1/20/2023 18:00,10,muy rapido y seguro,very fast and safe
1/20/2023 18:01,10,POR EL EXCELENTE SERVICIO Y TARIFAS GRACIAS,FOR THE EXCELLENT SERVICE AND RATES THANK YOU
1/20/2023 18:10,10,"POE PRECIO, DESTINOS Y FACILIDAD DE REALIZAR CHECK IN","POE PRICE, DESTINATIONS AND EASE OF CHECK IN"
1/20/2023 18:11,10,buen servicio,good service
1/20/2023 18:12,10,Viajar es fácil,traveling is easy
1/20/2023 18:14,10,Por precios económicos,for low prices
1/20/2023 18:28,9,Rapidez de la pagina,page speed
1/20/2023 18:42,10,PRECIOS ACCESIBLES,ACCESSIBLE PRICES
1/20/2023 19:07,10,Es fácil y rápido ----------------Saludos,It's easy and fast ----------------Greetings
1/20/2023 19:23,10,EXCELENTE ATENCION Y PUNTUALIDAD,EXCELLENT ATTENTION AND PUNCTUALITY
1/20/2023 19:27,9,FACILIDAD DE TRAMITE,EASE OF PROCESSING
1/20/2023 19:30,10,Por lo facil que fue realizar el checkin,Because of how easy it was to check in
1/20/2023 19:34,10,FUNCIONA Y LO HACE MAS QUE SU APP,IT WORKS AND DOES IT MORE THAN YOUR APP
1/20/2023 19:37,10,EXcelente atención,Excellent attention
1/20/2023 19:39,10,muy sencillo y facil,very simple and easy
1/20/2023 19:41,10,Muy fácil,Very easy
1/20/2023 19:48,10,Es muy amigable la pagina y los pasos a seguir,The page and the steps to follow are very friendly
1/20/2023 19:50,10,muy interactiva,very interactive
1/20/2023 1:03,10,MUY FACIL DE USAR,VERY EASY TO USE
1/20/2023 1:14,9,ME GUSTA EL SERVICIO ONLINE,I LIKE THE ONLINE SERVICE
1/20/2023 1:20,10,facilidad,ease
1/20/2023 1:23,9,buen servicio,good service
1/20/2023 1:31,9,"han mejorado sus procesos y me encanta , dan mucha variedad y la pagina es de lo más amigable, felicidades","They have improved their processes and I love it, they give a lot of variety and the page is the friendliest, congratulations"
1/20/2023 1:38,10,PRACTICIDAD,PRACTICALITY
1/20/2023 1:39,10,ES RAPIDO,IT'S FAST
1/20/2023 1:43,10,PRACTICO,PRACTICAL
1/20/2023 1:54,10,PRECIO CALIDAD,PRICE QUALITY
1/20/2023 20:33,9,Es muy facil,Too easy
1/20/2023 20:38,10,Barato y buen servicio,Cheap and good service
1/20/2023 20:52,10,AGILIDAD,AGILITY
1/20/2023 21:37,10,gracias,gracias
1/20/2023 21:40,10,me gusta mucho es mas rapido ahorras tiempo,"I like it a lot, it's faster, you save time"
1/20/2023 21:47,9,Es Facil,It is easy
1/20/2023 21:58,10,muy bien,very good
1/20/2023 22:11,9,facil de hacer check in,easy to check in
1/20/2023 22:25,10,SEGURIDAD,SECURITY
1/20/2023 22:46,10,es buena,it's good
1/20/2023 22:49,10,MUY COMODOS Y PUNTUALES,VERY COMFORTABLE AND PUNCTUAL
1/20/2023 22:52,10,Porque fué muy sencillo,because it was very simple
1/20/2023 23:02,9,ES PRACTICO,IT IS PRACTICAL
1/20/2023 23:40,10,por el buen servicio,for the good service
1/20/2023 23:55,10,rapidez,speed
1/20/2023 2:03,9,VUELA,FLYING
1/20/2023 2:07,10,Muy práctico,Very practical
1/20/2023 2:32,10,ES RAPIDO,IT'S FAST
1/20/2023 2:33,10,AGILIDAD,AGILITY
1/20/2023 3:02,9,FACIL,EASY
1/20/2023 3:04,10,Por sus servicios y por este tiempo de check-in anticipado,For your services and for this early check-in time
1/20/2023 3:13,10,Por el ahorro de tiempo,For saving time
1/20/2023 3:44,10,bien,GOOD
1/20/2023 3:45,10,SENCILLO Y FACIL DE REALIZAR,SIMPLE AND EASY TO PERFORM
1/20/2023 4:05,10,facilidad,ease
1/20/2023 4:26,9,BUEN SERVICIO,GOOD SERVICE
1/20/2023 4:38,9,Es EFICIENTE,Is efficient
1/20/2023 4:47,10,Facil,Easy
1/20/2023 4:53,10,facil y rapido,fast and easy
1/20/2023 5:06,9,es rapido y sencillo,it is fast and simple
1/20/2023 5:34,9,por la facilidad del proceso y el precio,for the ease of the process and the price
1/20/2023 5:37,10,siempre vuelo en viva aerobus y sin ningun contratiempo,I always fly live aerobus and without any setback
1/20/2023 5:38,10,EXELENTE SERVICIO,EXCELENT SERVICE
1/20/2023 5:43,10,me gusta lo practico,I like what I practice
1/20/2023 5:53,10,hello,hello
1/20/2023 6:37,10,l,l
1/20/2023 6:42,10,"rapido y sencillo, muy intuitivo","fast and simple, very intuitive"
1/20/2023 6:49,10,ok,ok
1/20/2023 6:58,10,se me hizo muy facil,it was very easy for me
1/20/2023 8:22,10,Fue muy fácil y rápido,It was very easy and fast
1/21/2023 0:00,10,PRECIO,PRECIO
1/21/2023 0:01,9,9,expedite the process at the airport
1/21/2023 0:31,10,agilizar el tramite en aeropuerto,ALRIGHT
1/21/2023 12:53,10,ESTA BIEN,EXCELLENT SERVICE
1/21/2023 14:10,10,EXCELENTE SERVICIO,Fast and easy
1/21/2023 14:20,10,Fácil y rápido,EASY TO USE AND GOOD PRICES
1/21/2023 14:26,10,FACIL DE USAR Y BUENOS PRECIOS,quick check-in
1/21/2023 15:38,10,check in rapido,Fast and easy
